layer,unit,explanation,AUC,U1,p,MAD
0,6314,"Experiences, actions, and feelings related to entertainment, media, and technology, along with personal anecdotes or opinions",0.9259,741.0,3.4924378911635482e-06,1.5526398537810515
0,6314,"Clothing, accessories, food, hairstyles, home decor, entertainment, software applications, and celebrations, especially for weddings, babies, or other life events",0.9331,669.0,2.3823614932129367e-06,1.5511927949672735
0,6314,"Mobile devices, applications, software, streaming services, locations, geographic restrictions, travel, airlines, flights, file management, customization, yoga practice, calendars, appointments, handwriting, mindfulness, music promotion, workflows, and bilingual dictionaries",0.9725999999999999,274.0,2.6287501457680503e-07,2.648315654133653
0,6314,"Events, entertainment, or services related to leisure activities, including transportation, venues, parties, weddings,  concerts, shows,  sports, restaurants, shopping, travel,  and accommodations",0.9486,514.0,1.0248025956146665e-06,1.8276197593002577
0,6314,"Products or features related to apparel, accessories, home decor, electronics, and tools",0.9257,743.0,3.5294449795451443e-06,1.7158898496178563
0,2725,"Software, music, or computer-related terms in close proximity to a brand, name, or product",0.9656,344.0,3.9360488869478394e-07,2.159794810886974
0,2725,"Titles of creative works (movies, musicals, TV shows, books, songs) and the names of people involved in their creation or featuring in them",0.9682,318.0,3.390240073992266e-07,2.2382261965858037
0,2725,"Products, items, or rewards and their availability, desirability, or acquisition",0.9553,447.0,7.056232725918202e-07,1.9907340979862516
0,2725,"Criteria, requirements, or qualifications related to examinations, acceptance, receiving information or items, or suitability",0.9655,345.0,3.958650942134912e-07,2.351553345497631
0,2725,"Positive outcomes, especially winning or receiving something, related to contests, competitions, or games",0.9732999999999999,267.0,2.523966747387902e-07,2.334659245137313
0,4297,"Qualities, characteristics, or specifications of animals or products",0.9217000000000001,783.0,4.35355458572793e-06,0.8834453186424663
0,4297,Processes related to beneficiation plants,0.9084,916.0,8.633192930472837e-06,0.7467525359585018
