layer,unit,explanation,AUC,U1,p,MAD
0,6314,"Experiences, actions, and feelings related to entertainment, media, and technology, along with personal anecdotes or opinions",0.934,660.0,2.2701860446654973e-06,1.742551478755611
0,6314,"Clothing, accessories, food, hairstyles, home decor, entertainment, software applications, and celebrations, especially for weddings, babies, or other life events",0.9500000000000001,500.0,9.483315899841693e-07,1.9012758365818185
0,6314,"Mobile devices, applications, software, streaming services, locations, geographic restrictions, travel, airlines, flights, file management, customization, yoga practice, calendars, appointments, handwriting, mindfulness, music promotion, workflows, and bilingual dictionaries",0.9576,424.0,6.200434077578498e-07,2.162699022391359
0,6314,"Events, entertainment, or services related to leisure activities, including transportation, venues, parties, weddings,  concerts, shows,  sports, restaurants, shopping, travel,  and accommodations",0.9459000000000001,541.0,1.189375215483929e-06,1.7546439594073027
0,6314,"Products or features related to apparel, accessories, home decor, electronics, and tools",0.9373,627.0,1.9007027866556372e-06,1.6707700072420757
0,2725,"Software, music, or computer-related terms in close proximity to a brand, name, or product",0.9530000000000001,470.0,8.025277214329074e-07,1.9418598432143523
0,2725,"Titles of creative works (movies, musicals, TV shows, books, songs) and the names of people involved in their creation or featuring in them",0.9632,368.0,4.514442986420077e-07,2.1251867523722643
0,2725,"Products, items, or rewards and their availability, desirability, or acquisition",0.9592999999999999,407.0,5.633130693572964e-07,2.027762162104161
0,2725,"Criteria, requirements, or qualifications related to examinations, acceptance, receiving information or items, or suitability",0.9735999999999999,264.0,2.4803052406458613e-07,2.3250389097132023
0,2725,"Positive outcomes, especially winning or receiving something, related to contests, competitions, or games",0.9749,251.0,2.2993920450400245e-07,2.405338699350099
0,4297,"Qualities, characteristics, or specifications of animals or products",0.917,830.0,5.557971998637224e-06,0.8194688595454981
0,4297,Processes related to beneficiation plants,0.9152,848.0,6.098875122070918e-06,0.8075585216896696
0,4297,"Employee stock options, private equity, LIBOR adjustable-rate mortgages, insurance policies, corporate acquisitions, real estate sales by non-residents, charitable donations, dementia care, surrogacy, retirement, gilt funds, sovereign debt ratings, cryptocurrency investments, long-term care insurance, and banking products.",0.9256,744.0,3.5480892340745513e-06,1.0417046389820785
0,4297,Ownership of property or membership status,0.9224,776.0,4.197128190771545e-06,0.9646642850175134
0,4297,"Discussions of financial, life, or career planning, resource allocation, and caregiving, often in the context of family or children",0.9429000000000001,571.0,1.4020337000200348e-06,1.423553657687382
0,4842,"Computer hardware, software, car parts, or optical devices and systems",0.09640000000000001,9036.0,1.0998308422929947e-05,-1.0985780196651365
0,4842,"Professional and personal development, often in the context of teams, companies, or training programs",0.04270000000000002,9573.0,6.306103099228052e-07,-1.2861778436022355
0,4842,"Mathematical concepts, computer graphics, clothing styles, musical artists and bands, self-improvement techniques, basketball teams and players, video game features, food, interpersonal relationships, Spanish language and culture, home maintenance, and space exploration",0.12400000000000001,8760.0,4.206035386049976e-05,-1.0385248710353587
0,4842,"Fitness, essays, digital skills training, product design and marketing, audits, internships, coaching, graphic design, academic assistance, data analytics, predictive modeling, computational chemistry, handwriting development, software documentation, development tools, intellectual property, brand reputation, web design, and real estate",0.21029999999999996,7897.0,0.0016014189873995196,-0.8328180243677937
