layer,unit,explanation,AUC,U1,p,MAD
0,6314,"proper nouns denoting people, places, institutions, or legislation in contexts of official capacity, public identity, or institutional recognition",0.7841,2159.0,0.0019705331305871735,0.5424876104442924
0,6314,overcoming restrictions to enable access or functionality,0.8429,1571.0,0.0001875318434157688,0.8151160830670835
0,6314,Specific items or products,0.8640000000000001,1360.0,7.335781492450088e-05,1.006648377744139
0,6314,events and experiences,0.8576,1424.0,9.803764704315015e-05,0.9848011352825928
0,6314,"personalization and customization of experiences, environments, or tools for satisfaction, efficiency, or emotional fulfillment",0.9204000000000001,796.0,4.6590006241433005e-06,1.8469913888547085
0,2725,"product attributes, specifications, and quality descriptors",0.6713,3287.0,0.06208105615663694,0.3296465440479079
0,2725,achievements recognition awards winning competitive success,0.9664,336.0,3.759661253058211e-07,2.184685291130832
0,2725,gaining or receiving benefits with ease or automation,0.9788,212.0,1.8299115773245566e-07,2.6754330534136517
0,2725,recognition or designation of entities through awards automated processes or selection mechanisms,0.9809,191.0,1.616996501524527e-07,2.5436726846017126
0,2725,acquisition or receipt of something beneficial,0.7882,2118.0,0.0016934842599925428,0.8576010960945428
0,4297,industrial processes and technical specifications,0.8842,1158.0,2.8491916678078925e-05,0.5622745795458087
0,4297,ownership or financial backing of entities or assets,0.9016,984.0,1.215636654541139e-05,0.6917509291271975
0,4297,inherent traits or conditions present from birth or as fundamental characteristics,0.8465,1535.0,0.00016035025367928978,0.3593706667812706
0,4297,"financial planning and regulatory compliance in corporate and personal contexts involving tax strategies, employee incentives, retirement funding, insurance policies, investment management, and legal obligations for asset handling",0.9837,163.0,1.3700553560075196e-07,3.293391439530433
0,4297,Responsibility for others' welfare and life management,0.9148,852.0,6.225738946896374e-06,0.9492617884027097
0,4842,hair care products and styling tools  skin care products and texture  furniture design and models  food recipes and ingredients  cosmetic tools and palettes  fashion design and clothing items  sleep products and comfort features,0.8375,1625.0,0.00023653502386403793,0.99985411726248
