layer,unit,explanation,AUC,U1,p,MAD
0,6314,"Experiences, actions, and feelings related to entertainment, media, and technology, along with personal anecdotes or opinions",0.8845,1155.0,2.8084737713535175e-05,1.0871607287950011
0,6314,"Clothing, accessories, food, hairstyles, home decor, entertainment, software applications, and celebrations, especially for weddings, babies, or other life events",0.9218,782.0,4.330870831617086e-06,1.7854957596821415
0,6314,"Mobile devices, applications, software, streaming services, locations, geographic restrictions, travel, airlines, flights, file management, customization, yoga practice, calendars, appointments, handwriting, mindfulness, music promotion, workflows, and bilingual dictionaries",0.9551000000000001,449.0,7.135807296742775e-07,2.0140677566225507
0,6314,"Events, entertainment, or services related to leisure activities, including transportation, venues, parties, weddings,  concerts, shows,  sports, restaurants, shopping, travel,  and accommodations",0.9059,941.0,9.796742095117625e-06,1.4595271499474383
0,6314,"Products or features related to apparel, accessories, home decor, electronics, and tools",0.9294,706.0,2.9019973965797388e-06,1.9697085168121875
0,2725,"Software, music, or computer-related terms in close proximity to a brand, name, or product",0.9234,766.0,3.982974660457257e-06,1.963497382574652
0,2725,"Titles of creative works (movies, musicals, TV shows, books, songs) and the names of people involved in their creation or featuring in them",0.9178999999999999,821.0,5.305049338802875e-06,1.6207924654901065
0,2725,"Products, items, or rewards and their availability, desirability, or acquisition",0.9716999999999999,283.0,2.7696594299756163e-07,2.3010789429166048
0,2725,"Criteria, requirements, or qualifications related to examinations, acceptance, receiving information or items, or suitability",0.9679000000000001,321.0,3.4492769076418486e-07,2.2459811459532975
0,2725,"Positive outcomes, especially winning or receiving something, related to contests, competitions, or games",0.9419,581.0,1.4807171674654984e-06,1.9586432879214828
0,4297,"Qualities, characteristics, or specifications of animals or products",0.9222,778.0,4.241263134157338e-06,0.8971739661628241
0,4297,Processes related to beneficiation plants,0.8949,1051.0,1.6943913430556762e-05,0.636098185956071
0,4297,"Employee stock options, private equity, LIBOR adjustable-rate mortgages, insurance policies, corporate acquisitions, real estate sales by non-residents, charitable donations, dementia care, surrogacy, retirement, gilt funds, sovereign debt ratings, cryptocurrency investments, long-term care insurance, and banking products.",0.9973,27.0,6.047644888048207e-08,7.927175916061388
0,4297,Ownership of property or membership status,0.9187000000000001,813.0,5.089512899954805e-06,0.844041623792124
0,4297,"Discussions of financial, life, or career planning, resource allocation, and caregiving, often in the context of family or children",0.9706999999999999,293.0,2.934780751037229e-07,2.35558674128548
0,4842,"Computer hardware, software, car parts, or optical devices and systems",0.48540000000000005,5146.0,0.8740487949771045,-0.18266597656126787
