layer,unit,explanation,AUC,U1,p,MAD
0,6314,"Experiences, actions, and feelings related to entertainment, media, and technology, along with personal anecdotes or opinions",0.9176,824.0,5.388106839884334e-06,1.3768877641019852
0,6314,"Clothing, accessories, food, hairstyles, home decor, entertainment, software applications, and celebrations, especially for weddings, babies, or other life events",0.9434,566.0,1.3642154487746706e-06,1.7601850402722254
0,6314,"Mobile devices, applications, software, streaming services, locations, geographic restrictions, travel, airlines, flights, file management, customization, yoga practice, calendars, appointments, handwriting, mindfulness, music promotion, workflows, and bilingual dictionaries",0.9428000000000001,572.0,1.4097173918292526e-06,1.7175218221125867
0,6314,"Events, entertainment, or services related to leisure activities, including transportation, venues, parties, weddings,  concerts, shows,  sports, restaurants, shopping, travel,  and accommodations",0.9424,576.0,1.4408590606423641e-06,1.6989840372172313
0,6314,"Products or features related to apparel, accessories, home decor, electronics, and tools",0.9432,568.0,1.379223511535259e-06,1.6992794168542866
0,2725,"Software, music, or computer-related terms in close proximity to a brand, name, or product",0.9286,714.0,3.0278547085835696e-06,1.582418761565402
0,2725,"Titles of creative works (movies, musicals, TV shows, books, songs) and the names of people involved in their creation or featuring in them",0.9627,373.0,4.6448632897998876e-07,2.087853882227847
0,2725,"Products, items, or rewards and their availability, desirability, or acquisition",0.9317,683.0,2.5675011683514293e-06,1.639482540633678
0,2725,"Criteria, requirements, or qualifications related to examinations, acceptance, receiving information or items, or suitability",0.9533,467.0,7.891968889008828e-07,1.9614868028882466
0,2725,"Positive outcomes, especially winning or receiving something, related to contests, competitions, or games",0.9707,293.0,2.934780751037229e-07,2.248751225804764
0,4297,"Qualities, characteristics, or specifications of animals or products",0.8997,1003.0,1.3363633315380658e-05,0.6707020241181071
0,4297,Processes related to beneficiation plants,0.8837,1163.0,2.918304648872603e-05,0.5525385966623652
0,4297,"Employee stock options, private equity, LIBOR adjustable-rate mortgages, insurance policies, corporate acquisitions, real estate sales by non-residents, charitable donations, dementia care, surrogacy, retirement, gilt funds, sovereign debt ratings, cryptocurrency investments, long-term care insurance, and banking products.",0.9460000000000001,540.0,1.1828504797692516e-06,1.4801145982937696
0,4297,Ownership of property or membership status,0.8646,1354.0,7.137330603943599e-05,0.443329809757769
0,4297,"Discussions of financial, life, or career planning, resource allocation, and caregiving, often in the context of family or children",0.9079,921.0,8.854789542896405e-06,0.780366212864033
0,4842,"Computer hardware, software, car parts, or optical devices and systems",0.040600000000000025,9594.0,5.601367019930018e-07,-1.275043442230436
0,4842,"Professional and personal development, often in the context of teams, companies, or training programs",0.02430000000000001,9757.0,2.1944705970415153e-07,-1.3856075030323538
0,4842,"Mathematical concepts, computer graphics, clothing styles, musical artists and bands, self-improvement techniques, basketball teams and players, video game features, food, interpersonal relationships, Spanish language and culture, home maintenance, and space exploration",0.09180000000000002,9082.0,8.721188039729312e-06,-1.123349410303981
