layer,unit,explanation,AUC,U1,p,MAD
0,6314,"Sports, music, and entertainment figures, along with political figures and events",0.8526,1474.0,0.0001225718397092802,0.8785268573558233
0,6314,"Electronic devices and their accessories, charging process, and alerts/alarms",0.9562,438.0,6.708605389787679e-07,2.3660478588856937
0,6314,"Relating to colors, fashion items, furniture, or UI elements",0.923,770.0,4.067348395541229e-06,1.4887326608573832
0,6314,"Positive descriptions of places and amenities, often related to homes, leisure activities, and healthcare",0.9167,833.0,5.6448153392326075e-06,1.3753659561555647
0,6314,"Features, functions, or characteristics of smartwatches, or discussions about available brands or models",0.9813999999999999,186.0,1.569950173824799e-07,3.209355215639568
0,6314,"Babies, apparel, music, entertainment, and leisure activities",0.9874999999999999,125.0,1.0925370154945094e-07,3.477433862276381
0,6314,"Experiences and observations related to media, technology, personal events, and reflections on parenting and life",0.8487,1513.0,0.00014561252301392187,1.0087118154944252
0,6314,"Events, entertainment, and celebrations, often including specific locations, venues, or performers",0.903,970.0,1.1334178221060897e-05,1.2957674735328166
0,6314,"Activities, methods, or practices related to learning, improving, or coping, such as yoga, handwriting, mindfulness, language learning, or organizing",0.9185,815.0,5.142597054128485e-06,1.4339924845473877
0,6314,"Food, recipes, meals, cooking, restaurants, flavors, ingredients, and colors",0.9337,663.0,2.307002115959563e-06,1.6186047577069407
0,2725,"Methods of measurement, evaluation, or testing",0.844,1560.0,0.00017879807516406115,1.0327445167189795
0,2725,Clothing or accessories and their attributes,0.9499000000000001,501.0,9.536064263117443e-07,1.932339433198272
0,2725,"Positive reactions/feedback, acceptance, receiving something beneficial",0.9468,532.0,1.131878099669897e-06,1.8440509760415422
0,2725,"Titles, names of characters, or names of creative works in entertainment-related contexts that relate to awards, nominations, or other forms of critical recognition",0.9853999999999999,146.0,1.2383693633288252e-07,2.785568289711254
0,2725,"Composer, musical piece, musical instrument, musical score, musical key",0.9750999999999999,249.0,2.272716198988393e-07,2.397337289664142
0,2725,"Winning, success, achievement, positive outcomes, progress, being ahead",0.9579,421.0,6.096472726610246e-07,2.153161172138449
0,2725,Product or service descriptions with positive attributes,0.9403,597.0,1.6155130846990297e-06,1.8215037130839746
0,2725,"Receiving, avoiding, or minimizing something negative",0.9743999999999999,256.0,2.3674118938010742e-07,2.4311583517605735
0,2725,"Receiving, providing, or discussing information, assistance, or resources",0.9612,388.0,5.058297888103144e-07,2.0902524273407317
0,2725,"Positive descriptions of interior design, furniture, awards, or items, and actions related to choosing, selecting, or earning something",0.9623,377.0,4.7518089100940207e-07,2.243351229929202
0,4297,Technical specifications of industrial or commercial products or processes,0.8621000000000001,1379.0,7.9992003602355e-05,0.44779702417608275
0,4297,"Concepts of territory, policy, and citizenship, often related to culture and welfare in a regional or international context",0.9313,687.0,2.6228854919567427e-06,1.2426030177791816
0,4297,"Concepts of resource management, energy, and resource usage efficiency, sometimes in combination with simulations or modeling",0.9328,672.0,2.4209219382148064e-06,1.2534681972395265
0,4297,"Donations, financial accounts, and charitable giving",0.9678,322.0,3.4691754560935315e-07,2.119505305787816
0,4297,Small products for babies/young children,0.9099,901.0,7.99975681796161e-06,0.7492849574101943
0,4297,"Probate, estate planning, asset distribution, ownership, or placeholder names",0.992,80.0,8.338572793418424e-08,4.925198891249168
0,4297,"Kitchen utensils, shapes, parts of proper names, and flooring materials",0.8993,1007.0,1.3631975886701952e-05,0.6859742083629905
0,4297,"Dementia care, future of surrogacy, personal life changes and goals, pragmatic and ethical implications of life technologies, retirement and retirees as a valuable resource,  rights and choices in life, acting in one's best interest, wealth and resources, commitment to goals and action, leases and ownership, managing life situations,  caregiving scenarios and skills, resources for projects and initiatives, conception difficulties, and the impact of global warming",0.9922,78.0,8.238590129118299e-08,5.0873410947026265
0,4297,"Financial products and services, especially insurance policies and animal purchasing",0.9779,221.0,1.9292385371945532e-07,2.6833799284271276
0,4297,"Financial, tax, and legal implications of company or employee stock options, share plans, and equity programs, including grants, exercises, savings, consequences, and treatments, often with respect to government regulations and authorities",0.9971,29.0,6.121758199063496e-08,8.255935834827316
0,4842,"Hair care, skincare, food and drinks, or other products and their ingredients, effects, or usage",0.12969999999999998,8703.0,5.489125800918915e-05,-1.043206739137292
0,4842,"Partnerships, collaborations, or affiliations and their impact on various entities, including governmental bodies, organizations, corporations, or individuals",0.05120000000000002,9488.0,1.0135256973339165e-06,-1.2605447770395626
0,4842,"Fitness training, internships, professional coaching, mastery of skills, improving handwriting, systems thinking, college education, dog training, cleaning services, yoga instruction, podcasts, business branding, spiritual guidance, handling anxiety, and memory improvement tips",0.6605,3395.0,0.08045473151346294,0.3552172971763984
0,4842,"Mathematical and scientific concepts, academic work (essays, research, dissertations), software and systems (design, development, tools, frameworks, code, algorithms), games (graphics, features), products (design, features, models), and business and marketing (strategies, clients, platforms, customers)",0.5352,4648.0,0.7017579483711311,-0.07617946372502071
0,4842,"Fashion, beauty, and design, often involving specific brands, collections, or individuals",0.4976,5024.0,0.9795743669654762,-0.18143224589162668
0,4842,"Food, recipes, and meals, especially in the context of restaurants, catering services, or home cooking",0.17350000000000002,8265.0,0.00037572421535927037,-0.9078379533117891
0,4842,"Automotive design, components, and engineering, including engines, chassis, styling, and materials, along with software/computer aspects like kernels and graphics processing units",0.554,4460.0,0.5566875203094064,-0.041362236514986855
0,4842,"Digital skills, clients, sessions, internal audits, analytics solutions, FMCG innovation, intellectual property assets, brand reputation, academic skills and educational environment, real estate properties, commercial building security and training, healthcare standards and feedback, traffic solutions and company numbers, timber frame skills, investment portfolios and options, cookie data and privacy policies, calibration trends and technology, and work environment and professional strategies",0.8734,1266.0,4.751326046943474e-05,1.1552755068977085
0,4842,"Names of people, especially in contexts related to entertainment, professional work, or news events",0.1269,8731.0,4.818391778242452e-05,-1.0675419153005543
0,4842,"Discussions of teams, personnel, or collaborations, especially in professional settings, often related to media, technology, sports, or the arts",0.3895,6105.0,0.22885290860012453,-0.40845589394934323
0,5551,"Video games, especially Minecraft and Grand Theft Auto, online gaming, and digital media",0.018500000000000016,9815.0,1.5607010670551728e-07,-1.0705045171220344
0,5551,"International relations, politics, and groups/unions",0.739,2610.0,0.009233457332687755,0.5966301266578541
0,5551,"Locations, particularly Jamaica, and Jamaican Patois, including grammar, vocabulary, and features",0.1397,8603.0,8.679692380208783e-05,-0.7419448866834434
0,5551,"Contractual disputes, financial disagreements, legal proceedings, and regulatory compliance relating to business operations",0.23199999999999996,7680.0,0.003508934887573381,-0.5926575101232219
0,5551,"Food, especially different kinds of food pairings",0.09270000000000002,9073.0,9.127882961764409e-06,-0.859332638393184
0,5551,"Locations, vehicles, and household objects",0.3182,6818.0,0.04769109408629182,-0.40359696914398024
