layer,unit,explanation,AUC,U1,p,MAD
0,6314,"Parental anticipation, familial bonding, and the introduction of new life, particularly in the context of celebrity or public figures, alongside reflections on personal and societal experiences through media, entertainment, and cultural commentary.",0.8841,1159.0,2.8628885654466368e-05,1.115929801220807
0,6314,"Bypassing geographic restrictions to access content, using tools like VPN or Smart DNS, and managing device settings to alter perceived location.",0.9126,874.0,6.969884550706711e-06,1.3277154939504818
0,6314,"Planning and organizing celebratory events, particularly those centered around weddings, showers, and birthdays, with a focus on themes, decorations, and personalized touches to create memorable experiences.",0.9815999999999999,184.0,1.5515046639394815e-07,3.1778528266437256
0,6314,"Events, celebrations, and gatherings in urban or social settings, often involving nightlife, music, dining, or entertainment, with a focus on group activities and special occasions.",0.9255,745.0,3.566827899679755e-06,1.6481210200513794
0,6314,"Organizing digital content, personalization of storage, and media management within structured environments.",0.8921,1079.0,1.94367391800201e-05,1.1336272611895195
0,2725,"Dmitri Shostakovich, piano, score, musical composition, publication, performance, edition, study, music publishing, violin, cello, musical edition, sheet music, four hands, two pianos, musical arrangement, musical instrument, music edition, composer, classical music, musical score, music education, musical work, sheet music publication, musical notation, performance part, musical edition details",0.9684,316.0,3.351425363356138e-07,2.2312817160478695
0,2725,"Receiving recognition, being selected, or being honored in a competitive or evaluative process.",0.9538,462.0,7.674514921007835e-07,2.089388642605545
0,2725,"User interaction mechanisms involving automated systems, data handling, and constraints on character usage for security or formatting purposes.",0.9187000000000001,813.0,5.089512899954805e-06,1.6032478440171087
0,2725,"Receiving recognition or honors, being awarded or nominated for achievements, and the act of being chosen or selected for notable roles or events.",0.9670000000000001,330.0,3.632402202380601e-07,2.3092114627855818
0,2725,Achieving effective outcomes through optimized methods and efficient execution.,0.9674999999999999,325.0,3.529538171365153e-07,2.2347888296135987
0,4297,industrial mineral processing systems for metal extraction and enrichment,0.9167000000000001,833.0,5.6448153392326075e-06,0.827629498848411
0,4297,Self-reflection and personal responsibility in shaping one's life and impact on the world through conscious choices and actions.,0.9061,939.0,9.698403331997269e-06,0.7419805501607416
0,4297,Property ownership in real estate records with partial names and abbreviations in legal contexts.,0.9188999999999999,811.0,5.036953697823791e-06,1.1139570505321585
0,4297,"Tax implications of employee share schemes, particularly in the UK, involving options, grants, and stake adjustments.",0.9963,37.0,6.427109531302687e-08,7.066735996393379
0,4297,"Resource allocation for individuals and groups, particularly in the context of life planning, inheritance, and caregiving, with a focus on ensuring fairness, security, and long-term stability.",0.993,70.0,7.850143008848953e-08,5.376381803116838
0,4842,"Hair care products and styling tools for maintaining healthy and attractive hair, with an emphasis on avoiding damage from heat and harsh chemicals.",0.3982,6018.0,0.26763077341890384,-0.4198487264114424
0,4842,"Teams, professionals, and experts in various fields, often in contexts involving collaboration, performance, or leadership, within structured environments such as sports, business, or public service.",0.22910000000000003,7709.0,0.003169234214713035,-0.7836960448931722
0,4842,"Cats increase food intake in winter due to higher energy needs for warmth, with seasonal variations in activity and consumption requiring adjusted feeding by owners.",0.09559999999999999,9044.0,1.0565239160415755e-05,-1.0865460989450564
0,4842,"Technical components in computing and electronics, including hardware, drivers, and system configurations, alongside design and development processes in software and hardware engineering.",0.5217,4783.0,0.8135334473569489,-0.11102966688555051
0,4842,"Professional development, educational support, and skill-building in dynamic and collaborative environments.",0.2569,7431.0,0.008098020112754473,-0.7185409432268831
0,5551,"Geographic regions, administrative divisions, and specific locations trigger activation, particularly in contexts involving travel, events, or categorization. The neuron responds to terms associated with states, regions, and localized entities, especially when these terms denote jurisdictional or geographic boundaries.",0.2336,7664.0,0.00371023196457467,-0.5519791488746743
0,5551,"Cultural identity and language, particularly in relation to Caribbean nations, international communities, and linguistic distinctions.",0.1837,8163.0,0.0005701156606891698,-0.7259054573822964
0,5551,"Legal obligations concerning data protection and privacy, particularly in relation to the handling, transfer, and safeguarding of personal information, along with the implementation of technical and procedural measures to ensure compliance with regulatory standards.",0.9924,76.0,8.139768773386253e-08,4.13839368189076
0,5551,"Legal agreements involving obligations between parties, disputes over terms, and responsibilities for goods or services, particularly in commercial or contractual contexts.",0.38180000000000003,6182.0,0.19802175730756222,-0.26651182640719906
0,5551,International organizations and diplomatic mechanisms addressing humanitarian and political issues between countries,0.9201,799.0,4.732348662108916e-06,6.335405695929143
0,1749,"Concepts of technical specifications, product identification, and system configurations with a focus on unique identifiers, hardware components, and operational procedures.",0.007400000000000006,9926.0,8.042095701238699e-08,-2.6472505682075487
0,1749,"Legal proceedings, criminal defense, and judicial outcomes in the context of DUI or felony charges, including probation, court systems, and sentencing considerations.",0.279,7210.0,0.01607612578409331,-0.6077777537823722
0,1749,"Luxury experiences, artistic expression, and personal indulgence in fashion and design.",0.02170000000000002,9783.0,1.8844661366012334e-07,-2.1520565455122687
0,1749,"Concepts of personal growth, overcoming failure, perseverance, and the importance of self-awareness and transformation.",0.424,5760.0,0.40798090310026325,-0.25248377872362215
0,1749,"Legal and governmental processes involving law enforcement, privacy rights, and judicial procedures, particularly in the context of warrants, legislation, and public policy.",0.065,9350.0,2.1514966083870615e-06,-1.5432833479788395
0,3943,"Political figures and public discourse involving social media platforms, legal investigations, and personal interactions.",0.9914,86.0,8.645621026039616e-08,3.4488711514443926
0,3943,"Prominent peaks in a mountainous region, with a focus on their naming, location, and climbing history.",0.6922999999999999,3077.0,0.03621502145411996,0.556058966941191
0,3943,"Leadership and innovation in professional services, emphasizing expertise, quality, and strategic impact across industries.",0.9803,197.0,1.6752531269623833e-07,2.7286325152583886
0,3943,"Casual apparel with humorous or expressive elements, typically t-shirts or shirts, often featuring music-related themes or personal identity markers.",0.9586,414.0,5.860389035480767e-07,2.19445981557873
0,3943,"Ambiguity in communication, especially in professional or academic contexts, and the need for clarity, precision, and appropriate terminology in expressing ideas or instructions.",0.9981,19.0,5.759790575163811e-08,3.634801685416576
0,5960,"Legal procedures involving property transactions and criminal investigations, with emphasis on formal documentation, legal representation, and regulatory compliance.",0.8534,1466.0,0.00011829145949628813,0.9914798512729794
